state,etats,abrv,vote,winner
Alabama,Alabama,AL,,
Alaska,Alaska,AK,,
Arizona,Arizona,AZ,,
Arkansas,Arkansas,AR,,
California,Californie,CA,,
Colorado,Colorado,CO,,
Connecticut,Connecticut,CT,,
Delaware,Delaware,DE,,
District of Columbia,Washington D.C.,DC,,
Florida,Floride,FL,,
Georgia,Géorgie,GA,,
Hawaii,Hawaï,HI,,
Idaho,Idaho,ID,,
Illinois,Illinois,IL,,
Indiana,Indiana,IN,,
Iowa,Iowa,IA,,
Kansas,Kansas,KS,,
Kentucky,Kentucky,KY,,
Louisiana,Louisiane,LA,,
Maine,Maine,ME,,
Maryland,Maryland,MD,,
Massachusetts,Massachusetts,MA,,
Michigan,Michigan,MI,,
Minnesota,Minnesota,MN,,
Mississippi,Mississippi,MS,,
Missouri,Missouri,MO,,
Montana,Montana,MT,,
Nebraska,Nebraska,NE,,
Nevada,Nevada,NV,,
New Hampshire,New Hampshire,NH,,
New Jersey,New Jersey,NJ,,
New Mexico,Nouveau-Mexique,NM,,
New York,New York,NY,,
North Carolina,Caroline du Nord,NC,,
North Dakota,Dakota du Nord,ND,,
Ohio,Ohio,OH,,
Oklahoma,Oklahoma,OK,,
Oregon,Oregon,OR,,
Pennsylvania,Pennsylvanie,PA,,
Rhode Island,Rhode Island,RI,,
South Carolina,Caroline du Sud,SC,,
South Dakota,Dakota du Sud,SD,,
Tennessee,Tennessee,TN,,
Texas,Texas,TX,,
Utah,Utah,UT,,
Vermont,Vermont,VT,,
Virginia,Virginie,VA,,
Washington,Washington,WA,,
West Virginia,Virginie-occidentale,WV,,
Wisconsin,Wisconsin,WI,,
Wyoming,Wyoming,WY,,
